Amphibians,Birds,Mammals,Sharks
Occidozyga baluensis,Halocyptena microsoma,Myotis adversus,Insentiraja laxipella
Mimosiphonops reinhardti,Oculocincta squamifrons,Casinycteris argynnis,Arhynchobatis asperrimus
Pachyhynobius shangchengensis,Randia pseudozosterops,Lagidium ahuacaense,Nebrius ferrugineus
Kurixalus appendiculatus,Myrmoborus leucophrys,Phodopus campbelli,Hemiscyllium freycineti
Asterophrys leucopus,Abroscopus albogularis,Anourosorex assamensis,Dactylobatus armatus
Gymnopis multiplicata,Leucopternis plumbeus,Anthops ornatus,Mobula diabolus
Breviceps acutirostris,Leptotila verreauxi,Thallomys loringi,Cirrhigaleus asper
Ansonia albomaculata,Thalassornis leuconotus,Diclidurus albus,Dalatias licha
Sphenophryne cornuta,Sarcogyps calvus,Mesembriomys gouldii,Zanobatus schoenleinii
Astylosternus batesi,Chlorophonia flavirostris,Bunomys andrewsi,Proscyllium habereri
Nannophrys ceylonensis,Crypturellus berlepschi,Hoplomys gymnurus,Rajella alia
Paradactylodon gorganensis,Panyptila sanctihieronymi,Abrawayaomys chebezi,Hexanchus griseus
Parvimolge townsendi,Bangsia arcaei,Monticolomys koopmani,Pristiophorus cirratus
Odontobatrachus natator,Cypseloides niger,Hadromys humei,Urolophus armatus
Adelophryne adiastola,Phibalura flavirostris,Oreonax flavicauda,Malacoraja kreffti
Ceratophrys aurita,Frederickena viridis,Idionycteris phyllotis,Neoharriotta carri
Rugosa emelianjovi,Amandava amandava,Megaderma lyra,Negaprion acutidens
Cacosternum aggestum,Petrophassa albipennis,Proedromys bedfordi,Heliotrygon gomesi
Hydrolaetare caparu,Cyanoptila cyanomelana,Glischropus aquilus,Eusphyra blochii
Latonia nigriventer,Aix sponsa,Anonymomys mindorensis,Isistius brasiliensis
Lechriodus aganoposis,Masius chrysopterus,Stylodipus andrewsi,Glyphis fowlerae
Aglyptodactylus laticeps,Guadalcanaria inexpectata,Bdeogale crassicauda,Brachaelurus colcloughi
Amphiuma means,Myrmia micrura,Phoniscus aerosa,Taeniurops grabata
Ichthyophis acuminatus,Gallinago solitaria,Brachiones przewalskii,Dasyatis acutirostra
Callulina dawida,Calonectris diomedea,Geogale aurita,Urogymnus asperrimus
Psychrophrynella adenopleura,Oreonympha nobilis,Xerus erythropus,Aculeola nigra
Phytotriades auratus,Pinaroloxias inornata,Lophostoma aequatorialis,Trigonognathus kabeyai
Ombrana sikimensis,Oxypogon guerinii,Orcaella brevirostris,Euprotomicrus bispinatus
Morerella cyanophthalma,Gymnobucco calvus,Proteles cristata,Rhinobatos albomaculatus
Centrolene acanthidiocephalum,Neopsittacus musschenbroekii,Peropteryx kappleri,Notorynchus cepedianus
Melanophryniscus admirabilis,Anas capensis,Mesophylla macconnelli,Dentiraja flindersi
Myobatrachus gouldii,Xanthotis flaviventer,Archaeolemur edwardsi,Aptychotrema rostrata
Elachistocleis bicolor,Hemignathus kauaiensis,Salpingotus crassicauda,Schroederichthys bivius
Thorius adelos,Jacamaralcyon tridactyla,Pseudomys albocinereus,Hexatrygon bickelli
Sachatamia albomaculata,Psittinus cyanurus,Gorilla beringei,Aetomylaeus maculatus
Dicamptodon aterrimus,Emberizoides herbicola,Euderma maculatum,Hemipristis elongata
Hylophorbus atrifasciatus,Semnornis frantzii,Epomophorus angolensis,Paratrygon aiereba
Mercurana myristicapalustris,Automolus ochrolaemus,Petaurus abidi,Makararaja chindwinensis
Cochranella ametarsia,Pachyramphus viridis,Atlantoxerus getulus,Gogolia filewoodi
Pleurodema alium,Calyptomena viridis,Hyperoodon ampullatus,Discopyge castelloi
Ixalotriton niger,Onychorhynchus coronatus,Myocastor coypus,Trygonoptera galba
Ingerophrynus biporcatus,Burhinus oedicnemus,Callicebus aureipalatii,Proscymnodon macracanthus
Pseudocallulops eurydactylus,Calocitta colliei,Enchisthenes hartii,Callorhinchus callorynchus
Parvicaecilia nicefori,Cryptospiza reichenovii,Parantechinus apicalis,Okamejei acutispina
Oedipina alfaroi,Threnetes niger,Limnogale mergulus,Asymbolus analis
Barbourula busuangensis,Oreomanes fraseri,Hippopotamus amphibius,Loxodon macrorhinus
Polypedates assamensis,Skutchia borbae,Heimyscus fumosus,Chaenogaleus macrostoma
Schistometopum gregorii,Sylvietta virens,Pteronura brasiliensis,Cruriraja andamanica
Crotaphatrema bornmuelleri,Artamella viridis,Dryadonycteris capixaba,Platyrhina hyugaensis
Dendrophryniscus berthalutzae,Melichneutes robustus,Hypogeomys antimena,Scymnodon ringens
Heterixalus alboguttatus,Corythaeola cristata,Thyroptera devivoi,Gymnura afuerae
Siphonops annulatus,Dendrortyx barbatus,Murina aenea,Zameus ichiharai
Sylvacaecilia grandisonae,Tarsiger cyanurus,Semnopithecus ajax,Rhizoprionodon acutus
Nothophryne broadleyi,Fregetta tropica,Pecari tajacu,Heterodontus francisci
Mertensophryne anotis,Microrhopias quixensis,Xenothrix mcgregori,Raja ackleyi
Metaphrynella pollicaris,Peucedramus taeniatus,Epomops buettikoferi,Neoraja africana
Pseudobranchus axanthus,Malacorhynchus membranaceus,Pipistrellus abramus,Neotrygon annotata
Phlyctimantis boulengeri,Lerwa lerwa,Phascolosorex doriae,Isogomphodon oxyrhynchus
Agalychnis annae,Dioptrornis chocolatinus,Rangifer tarandus,Chiloscyllium arabicum
Phyzelaphryne miriamae,Actophilornis africanus,Xenomys nelsoni,Cetorhinus maximus
Melanobatrachus indicus,Caloperdix oculeus,Wiedomys cerradensis,Rhinochimaera africana
Osornophryne angel,Guttera plumifera,Ailurops melanotis,Pristis clavata
Chimerella mariaelenae,Mycerobas icterioides,Euryoryzomys emmonsae,Nasolamia velox
Phrynomedusa appendiculata,Chlamydotis undulata,Hydrodamalis gigas,Benthobatis kreffti
Plectrohyla acanthodes,Rhinocrypta lanceolata,Parahydromys asper,Glaucostegus cemiculus
Metaphryniscus sosai,Threskiornis aethiopicus,Otocolobus manul,Pseudocarcharias kamoharai
Atretochoana eiselti,Pellorneum albiventre,Soriculus nigrescens,Somniosus antarcticus
Raorchestes agasthyaensis,Cypsnagra hirundinacea,Sundasciurus brookei,Narke capensis
Triprion petasatus,Pyrocephalus rubinus,Pseudois nayaur,Galeus antillensis
Austrochaperina adamantina,Pseudotriccus pelzelni,Dactylopsila megalura,Scylliogaleus quecketti
Callulops boettgeri,Urolestes melanoleucus,Neoromicia brunnea,Rioraja agassizii
Strongylopus bonaespei,Upucerthia serrana,Aepeomys lugens,Heteroscymnoides marleyi
Xanthophryne koynayensis,Aglaeactis cupripennis,Solomys ponceleti,Pentanchus profundicolus
Lithodytes lineatus,Siptornis striaticollis,Prionomys batesi,Platyrhinoidis triseriata
Hylarana albolabris,Urocissa ornata,Glis glis,Amblyraja badia
Probreviceps durirostris,Pteruthius rufiventer,Deltamys kempi,Scyliorhinus besnardi
Anodonthyla boulengerii,Marmaronetta angustirostris,Erethizon dorsatum,Bythaelurus alcockii
Hydromantes ambrosii,Schistes geoffroyi,Chrysocyon brachyurus,Cephaloscyllium albipinnum
Nyctanolis pernix,Jabouilleia danjoui,Vampyrum spectrum,Rhinoraja albomaculata
Andinobates abditus,Zeledonia coronata,Macroderma gigas,Hydrolagus affinis
Amolops afghanus,Balearica pavonina,Loxodonta africana,Lamiopsis temminckii
Hypogeophis rostratus,Scelorchilus albicollis,Brachylagus idahoensis,Squalus acanthias
Gracixalus ananjevae,Rheinardia ocellata,Thryonomys gregorianus,Haploblepharus edwardsii
Paradoxophyla palmata,Acrocephalus melanopogon,Macropus agilis,Irolita waitii
Ghatophryne ornata,Sirystes sibilator,Hemitragus jemlahicus,Sutorectus tentaculatus
Vandijkophrynus amatolicus,Androphobus viridis,Potos flavus,Stegostoma fasciatum
Corythomantis galeata,Pachycoccyx audeberti,Hemigalus derbyanus,Figaro boardmani
Megastomatohyla mixe,Rhizothera longirostris,Lepilemur aeeclis,Potamotrygon boesemani
Incilius alvarius,Uropsila leucogastra,Musonycteris harrisoni,Rhina ancylostoma
Philoria frosti,Ardea cinerea,Tscherskia triton,Deania calcea
Ikakogi tayrona,Apalis thoracica,Phocoena dioptrica,Temera hardwickii
Ommatotriton ophryticus,Erythrura hyperythra,Promops centralis,Aetobatus flagellum
Lanzarana largeni,Laniisoma elegans,Centronycteris centralis,Leptocharias smithii
Ranodon sibiricus,Histrionicus histrionicus,Lonchophylla bokermanni,Trygonorrhina dumerilii
Limnonectes acanthi,Chordeiles pusillus,Felovia vae,Squatina aculeata
Allopaa barmoachensis,Nemosia pileata,Uromys anak,
Oreobates amarakaeri,Rhodopechys sanguineus,Atelerix albiventris,
Odontophrynus achalensis,Leiothrix argentauris,Nesomys audeberti,
Arlequinus krebsi,Myophonus blighi,Oligoryzomys andinus,
Limnodynastes convexiusculus,Macrodipteryx longipennis,Choeronycteris mexicana,
Amazophrynella bokermanni,Schistocichla schistacea,Parascalops breweri,
Kalophrynus baluensis,Tangara inornata,Sommeromys macrorhinos,
Cophyla berara,Macropygia unchall,Mirounga angustirostris,
Mantella aurantiaca,Tmetothylacus tenellus,Micromys minutus,
Leptodactylus albilabris,Ailuroedus buccoides,Chlorotalpa duthieae,
Discodeles bufoniformis,Catharacta skua,,
Gephyromantis ambohitra,Coryphaspiza melanotis,,
Xenohyla eugenioi,Metriopelia ceciliae,,
Ptychadena aequiplicata,Cephalopterus glabricollis,,
Typhlonectes compressicauda,Trugon terrestris,,
Niceforonia adenobrachia,Nettapus pulchellus,,
Rheobatrachus silus,Compsothraupis loricata,,
Assa darlingtoni,Melanotis caerulescens,,
Stereocyclops histrio,Philomachus pugnax,,
Adenomera ajurauna,Acanthorhynchus tenuirostris,,
Urspelerpes brucei,Anhima cornuta,,
Chlorolius koehleri,Ceyx lepidus,,
Indirana beddomii,Emberiza citrinella,,
Oreophrynella cryptica,Urosphena subulata,,
Pelophylax bedriagae,Chrysothlypis chrysomelas,,
,Callocephalon fimbriatum,,
,Loxigilla portoricensis,,
,Serilophus lunatus,,
,Geoffroyus geoffroyi,,
,Neocossyphus rufus,,
,Anous stolidus,,
,Mearnsia picina,,
,Psittirostra psittacea,,
,Coturnicops exquisitus,,
,Mimus polyglottos,,
,Metopothrix aurantiaca,,
,Ramsayornis modestus,,
,Cnemophilus macgregorii,,
,Ramphomicron microrhynchum,,
,Harpagus bidentatus,,
